Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,UIN,Product Name,Date of Approval,Documents,Type Of Product,document_link
1,Non-Archived,2022-2023,Bajaj Allianz General Insurance Co. Ltd.,BAJHLIP23020V012223,Global Health Care,06-05-2022,BAJHLIP23020V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/BAJHLIP23020V012223.pdf/fc18c97a-baf7-336e-bd80-e637b32dcb7d?version=1.0&t=1667711515563&download=true
1,Non-Archived,2022-2023,Star Health And Allied Insurance Co. Ltd,SHAHLIP23017V012223,Star Health Assure Insurance Policy,22-04-2022,SHAHLIP23017V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SHAHLIP23017V012223.pdf/f5426aca-4328-7a97-f93a-aba9e739e2bb?version=1.0&t=1669352686338&download=true
1,Non-Archived,2022-2023,Star Health And Allied Insurance Co. Ltd,SHAHLGP23015V012223,Star Group Health Insurance Policy - Platinum,19-04-2022,SHAHLGP23015V012223.pdf,Add on,https://irdai.gov.in/documents/37343/931203/SHAHLGP23015V012223.pdf/133105be-a809-7527-0815-b2816e471294?version=1.0&t=1669352459886&download=true
1,Non-Archived,2022-2023,Shriram General Insurance Co. Ltd,SGLHLGP23026V012223,Shri Vector Care Group Insurance Policy,24-05-2022,SGLHLGP23026V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/SGLHLGP23026V012223.pdf/00b3f5a1-6d89-9975-18dc-9b3ee5abe61a?version=1.0&t=1669351866287&download=true
1,Non-Archived,2022-2023,Shriram General Insurance Co. Ltd,SGLHLIP23019V012223,Shri Sarv -Care Health Benefit Package Policy,26-04-2022,SGLHLIP23019V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SGLHLIP23019V012223.pdf/513a488f-883e-f853-8faa-df485b623e3a?version=1.0&t=1669351648133&download=true
1,Non-Archived,2022-2023,Shriram General Insurance Co. Ltd,SGLHLGP23014V012223,Shri Group Hospital Daily Cash Benefit Insurance Policy,13-04-2022,SGLHLGP23014V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/SGLHLGP23014V012223.pdf/8f393658-d0ee-3f88-5979-a3b6e7f094b8?version=1.0&t=1669351448776&download=true
1,Non-Archived,2022-2023,SBI General Insurance Company Limited,SBIHLGP23005V012223,HospiCash Loan Insurance,05-04-2022,SBIHLGP23005V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/SBIHLGP23005V012223.pdf/1b3cfe22-c762-61a7-414a-29d7c6bb3eec?version=1.0&t=1669351077027&download=true
1,Non-Archived,2022-2023,Royal Sundaram Gen Ins Co ltd,RSAHLIP23029V012223,Advanced Topup Health Insurance Plan,02-06-2022,RSAHLIP23029V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/RSAHLIP23029V012223.pdf/b7d2c470-905a-a968-ecdc-e46ee886170e?version=1.0&t=1669350891324&download=true
1,Non-Archived,2022-2023,Raheja QBE General Insurance Co,RQBHLGP23036V012223,Group Health Super Top Up,08-06-2022,RQBHLGP23036V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/RQBHLGP23036V012223.pdf/21472cd3-a222-9f43-23af-796c7e6b7526?version=1.0&t=1669350662425&download=true
1,Non-Archived,2022-2023,Niva Bupa Health Insurance Company Limited,NBHTGBP22011V012223,Travel Infinity,12-04-2022,NBHTGBP22011V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/NBHTGBP22011V012223.pdf/c392bcc1-f6a8-cadd-ab84-495b3273d2c3?version=1.0&t=1669350459879&download=true
1,Non-Archived,2022-2023,SBI General Insurance Company Limited,SBIHLIP23050V012223,Super Health Insurance,23-06-2022,SBIHLIP23050V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SBIHLIP23050V012223.pdf/de34fc22-e5b0-d313-41b1-9bcd4243d600?version=1.0&t=1669351245742&download=true
1,Non-Archived,2022-2023,Navi General Insurance Ltd.,NAVHLIP23003V012223,Navi Smart Health,01-04-2022,NAVHLIP23003V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/NAVHLIP23003V012223.pdf/9577514a-6bf3-b51e-5a54-5e7f050e2550?version=1.0&t=1669349979791&download=true
1,Non-Archived,2022-2023,Manipal Cigna Health Insurance Co. Ltd.,MCIHLIA23023V012223,ManipalCigna Health 360,13-05-2022,MCIHLIA23023V012223.pdf,Add-on,https://irdai.gov.in/documents/37343/931203/MCIHLIA23023V012223.pdf/2f03cb93-41a4-e060-4318-f16170d9d23a?version=1.0&t=1669349809015&download=true
1,Non-Archived,2022-2023,Manipal Cigna Health Insurance Co. Ltd.,MCIHLIP23022V032223,ManipalCigna Super Top Up,01-04-2021,MCIHLIP23022V032223.pdf,Revision,https://irdai.gov.in/documents/37343/931203/MCIHLIP23022V032223.pdf/95221470-886d-ff52-2a78-b1031aaddee7?version=1.0&t=1669349551633&download=true
1,Non-Archived,2022-2023,ICICI Lombard GIC Ltd,,Group Criti Shield Plus,25-05-2022,ICIHLGP23027V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/ICIHLGP23027V012223.pdf/bf200d67-8809-22db-ef15-9146bf3b418a?version=1.0&t=1669349368756&download=true
1,Non-Archived,2022-2023,ICICI Lombard GIC Ltd,ICIHLIP22012V012223,Golden Shield,12-04-2022,ICIHLIP22012V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/ICIHLIP22012V012223.pdf/d258f1bb-a90d-5f13-c8bb-c0317ffae28b?version=1.0&t=1669349189166&download=true
1,Non-Archived,2022-2023,HDFC ERGO General Insurance Company Limited.,HDFHLIP23024V072223,Easy Health,20-05-2022,HDFHLIP23024V072223.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLIP23024V072223.pdf/4bb864b2-c358-cde0-9230-9ae57c2097cd?version=1.0&t=1667711499204&download=true
1,Non-Archived,2022-2023,Edelweiss General Insurance Co. Ltd.,EDLHLGA23009V012223,Well Baby Well Mother -Add on,06-05-2022,EDLHLGA23009V012223.pdf,Add on,https://irdai.gov.in/documents/37343/931203/EDLHLGA23009V012223.pdf/41e5fe7d-94ec-6d27-f695-45e96ca14688?version=1.0&t=1667711504266&download=true
1,Non-Archived,2022-2023,Cholamandalam MS General Insurance Company Limited,CHOTGDP23004V012223,Group Domestic Travel Insurance,04-04-2022,CHOTGDP23004V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/CHOTGDP23004V012223.pdf/cd07a08b-d094-be87-8234-4ce24c12ae4e?version=1.0&t=1667711509343&download=true
1,Non-Archived,2022-2023,Niva Bupa Health Insurance Company Limited,NBHHLIP23007V052223,Health Companion,05-05-2022,NBHHLIP23007V052223.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NBHHLIP23007V052223.pdf/106c00c6-3b29-7c1c-afea-770854505528?version=1.0&t=1669350170763&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHLIP22105V022122,Future Hospicash,09-07-2021,FGIHLIP22105V022122_HEALTH2090.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHLIP22105V022122_HEALTH2090.pdf/a2eca867-a8e0-feba-bcb8-bb83de2e0d8d?version=1.1&t=1668842139353&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHLIP22112V032122,Surakshit Loan Bima,09-07-2021,FGIHLIP22112V032122_HEALTH2091.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHLIP22112V032122_HEALTH2091.pdf/cd33d7e9-274d-0df0-1042-039bb330eb5f?version=1.1&t=1668842227154&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHMGP22107V032122,Sukshma Hospi-Cash Group (Micro-Insurance Product),09-07-2021,FGIHMGP22107V032122_HEALTH2092.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHMGP22107V032122_HEALTH2092.pdf/1a72f5e3-6ad3-31f2-ad3f-18eccd9ebb67?version=1.1&t=1668842285985&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHMIP22106V032122,Sukshma Hospi-Cash (Micro-Insurance Product),09-07-2021,FGIHMIP22106V032122_HEALTH2093.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHMIP22106V032122_HEALTH2093.pdf/9ae739fb-4f28-9f12-526a-a3f40ad9fd20?version=1.1&t=1668842355928&download=true
2,Non-Archived,2021-2022,HDFC ERGO General Insurance company Ltd,HDFHLIA22141V032122,my:health Critical Illness (Add On),06-08-2021,HDFHLIA22141V032122_HEALTH2097.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLIA22141V032122_HEALTH2097.pdf/ba780c1c-6e66-7724-fae1-72b04e223037?version=1.1&t=1668842636074&download=true
2,Non-Archived,2021-2022,HDFC ERGO General Insurance company Ltd,HDFHLGP22143V032122,my:credit Comprehensive Suraksha,06-08-2021,HDFHLGP22143V032122_HEALTH2095.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLGP22143V032122_HEALTH2095.pdf/dd12902e-a376-6591-0637-ff45e75de8c0?version=1.1&t=1668842486423&download=true
2,Non-Archived,2021-2022,HDFC ERGO General Insurance company Ltd,HDFHLGP22144V032122,my:health Comprehensive Suraksha - Group,06-08-2021,HDFHLGP22144V032122_HEALTH2096.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLGP22144V032122_HEALTH2096.pdf/8ad8d2f7-89b2-2a95-fb6a-4a58fe78801b?version=1.1&t=1668842556463&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHLIP22104V022122,Future Criticare,09-07-2021,FGIHLIP22104V022122_HEALTH2089.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHLIP22104V022122_HEALTH2089.pdf/d76841bc-b03d-4c40-a182-8ea23969bfef?version=1.1&t=1668842071902&download=true
2,Non-Archived,2021-2022,Go Digit General Insurance Co.Ltd,GODPAGP22103V032122,Digit Group Total Protect Policy,07-07-2021,GODPAGP22103V032122_HEALTH2094.pdf,Group,https://irdai.gov.in/documents/37343/931203/GODPAGP22103V032122_HEALTH2094.pdf/863a76a5-3261-b84b-43d8-3494fcadd0ac?version=1.1&t=1668842424635&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHLGP22111V032122,Group Loan Bima,09-07-2021,FGIHLGP22111V032122_HEALTH2088.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHLGP22111V032122_HEALTH2088.pdf/e0ffb251-dc56-d669-237a-ac519c987bf9?version=1.1&t=1668841964843&download=true
2,Non-Archived,2022-2023,The Oriental Insurance Company Limited,OICHLGP23028V012223,Oriental Secure Credit,30-05-2022,OICHLGP23028V012223.pdf,Group,https://irdai.gov.in/documents/37343/931203/OICHLGP23028V012223.pdf/1c1e089b-3d2f-40bf-0eb6-fc34f92d558d?version=1.0&t=1669353942953&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHLGP22109V032122,Future Health Protect – Group,09-07-2021,FGIHLGP22109V032122_HEALTH2086.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHLGP22109V032122_HEALTH2086.pdf/25d27e00-881c-af5e-57f0-c01b6556c49c?version=1.1&t=1668768830002&download=true
2,Non-Archived,2021-20222,Bajaj Allianz General Insuarnce Co. Ltd,BAJHLIA22169V012122,Health Prime  -Rider for Health Products,01-04-2021,Health Prime  -Rider for Health Products.pdf,Health Individual,https://irdai.gov.in/documents/37343/931203/Health+Prime++-Rider+for+Health+Products.pdf/d3e08e0a-4a96-5944-97f5-14fd060bb79e?version=1.1&t=1668923042824&download=true
2,Non-Archived,2021-22,Kotak Mahindra General Insurance Co. Ltd.,KOTHLGP22168V012122,Kotak Group Health Assure,04-10-2021,Kotak Group Health Assure.pdf,Health,https://irdai.gov.in/documents/37343/931203/Kotak+Group+Health+Assure.pdf/8e555591-84af-2349-fcf5-5e935992b7a2?version=1.1&t=1668923147508&download=true
2,Non-Archived,2022-2023,Universal Sompo General Insurance Co.,UNIHLIP23006V032223,Complete Health Care Insurance,05-04-2022,UNIHLIP23006V032223.pdf,Revision,https://irdai.gov.in/documents/37343/931203/UNIHLIP23006V032223.pdf/a78a1bbf-533e-247a-b9a0-136768029158?version=1.0&t=1669354136950&download=true
2,Non-Archived,2022-2023,The Oriental Insurance Company Limited,OICHLIP22010V042223,Happy Family Floater Policy 2021,11-04-2022,OICHLIP22010V042223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/OICHLIP22010V042223.pdf/b8f4f473-3670-8936-c219-d87881338353?version=1.0&t=1669353756992&download=true
2,Non-Archived,2022-2023,The New India Assurance Company Limited,NIAHLIP22025V012223,Yuva Bharat Health Policy,20-05-2022,NIAHLIP22025V012223.pdf,Individual,https://irdai.gov.in/documents/37343/931203/NIAHLIP22025V012223.pdf/bdf10a99-9cc4-8bf3-2fd7-d3d34664f505?version=1.0&t=1669353303176&download=true
2,Non-Archived,2022-2023,Star Health And Allied Insurance Co. Ltd,SHAHLIP23037V072223,Medi Classic Insurance Policy (Individual),13-06-2022,SHAHLIP23037V072223.pdf,Revision,https://irdai.gov.in/documents/37343/931203/SHAHLIP23037V072223.pdf/2e8aa427-69f1-d423-d81b-ef9c7a8194bd?version=1.0&t=1669353086126&download=true
2,Non-Archived,2022-2023,Star Health And Allied Insurance Co. Ltd,SHAHLGP23021V032223,Star Group Health Insurance,09-05-2022,SHAHLGP23021V032223.pdf,Revision,https://irdai.gov.in/documents/37343/931203/SHAHLGP23021V032223.pdf/c31b3ec6-4086-c88c-11b9-384a3ee39eea?version=1.0&t=1669352900604&download=true
2,Non-Archived,2021-2022,Future Generali India Insurance Co. Ltd.,FGIHLGP22110V032122,Future Poorna Suraksha – Group,09-07-2021,FGIHLGP22110V032122_HEALTH2087.pdf,Revision,https://irdai.gov.in/documents/37343/931203/FGIHLGP22110V032122_HEALTH2087.pdf/ba341ce7-0f35-2e06-c6f8-988ca4294878?version=1.1&t=1668768768476&download=true
3,Non-Archived,2021-2022,Star Health and Allied Insurrance Co.,SHAHLGP22147V022122,Star Group Covid Insurance Policy,10-08-2021,SHAHLGP22147V022122_HEALTH2147.pdf,Group,https://irdai.gov.in/documents/37343/931203/SHAHLGP22147V022122_HEALTH2147.pdf/83003905-189c-8670-eaa4-f79cbcb38107?version=1.1&t=1668768102838&download=true
3,Non-Archived,2021-2022,Star Health and Allied Insurrance Co.,SHAHLIP22102V052122,Family Health Optima Accident Care Policy,07-07-2021,SHAHLIP22102V052122_HEALTH2148.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SHAHLIP22102V052122_HEALTH2148.pdf/18ee492c-1456-e476-934a-9c21555ac7be?version=1.1&t=1668767975865&download=true
3,Non-Archived,2021-2022,Star Health and Allied Insurrance Co.,SHAHLIP22140V012122,Star Critical Illness Multipay Insurance Policy,06-08-2021,SHAHLIP22140V012122_HEALTH2149.pdf,Individual,https://irdai.gov.in/documents/37343/931203/SHAHLIP22140V012122_HEALTH2149.pdf/757161fa-a42f-5982-7b90-62a7289fb6db?version=1.1&t=1668767870969&download=true
3,Non-Archived,2021-2022,Universal Sompo GIC,UNIHLGP22074V012122,Group Credit Protection Policy,02-07-2021,UNIHLGP22074V012122_HEALTH2150.pdf,Group,https://irdai.gov.in/documents/37343/931203/UNIHLGP22074V012122_HEALTH2150.pdf/7cd2da4d-9e55-99fe-8c49-c0e06c972206?version=1.1&t=1668767822254&download=true
3,Non-Archived,2021-2022,ICICI Lombard GI Co. Ltd.,ICIHLGP22084V042122,Income Protect,02-07-2021,ICIHLGP22084V042122_HEALTH2102.pdf,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLGP22084V042122_HEALTH2102.pdf/92a5251a-d6fa-f66d-4dc5-1592e79a97e9?version=1.1&t=1668842949884&download=true
3,Non-Archived,2021-2022,Universal Sompo GIC,UNIHLIP22139V032122,Loan Secure Insurance Policy,05-08-2021,UNIHLIP22139V032122_HEALTH2152.pdf,Individual,https://irdai.gov.in/documents/37343/931203/UNIHLIP22139V032122_HEALTH2152.pdf/9df50cb0-4292-70c1-bf3e-292488c30aee?version=1.1&t=1668767644481&download=true
3,Non-Archived,2021-2022,ICICI Lombard GI Co. Ltd.,ICIHLGP22083V022122,Health Shield 360,02-07-2021,ICIHLGP22083V022122_HEALTH2101.pdf,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLGP22083V022122_HEALTH2101.pdf/6b5ac086-3668-d92b-1d2d-0935976be059?version=1.1&t=1668842885975&download=true
3,Non-Archived,2021-2022,Star Health and Allied Insurrance Co.,SHAHLGP22134V012122,Star Group Critical Illness Multipay Insurance Policy,29-07-2021,SHAHLGP22134V012122_HEALTH2146.pdf,Group,https://irdai.gov.in/documents/37343/931203/SHAHLGP22134V012122_HEALTH2146.pdf/7c0c6615-1dfc-76d8-b3c3-609abad24d98?version=1.1&t=1668754528900&download=true
3,Non-Archived,2021-2022,Universal Sompo GIC,UNIHLGP22161V012122,Group Hospital Cash Policy,24-09-2021,UNIHLGP22161V012122_HEALTH2151.pdf,Group,https://irdai.gov.in/documents/37343/931203/UNIHLGP22161V012122_HEALTH2151.pdf/cf688f12-3906-213f-cacb-b0d0c74689d3?version=1.1&t=1668767695554&download=true
3,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,SBIHLIP22158V012122,Arogya Shield,09-09-2021,SBIHLIP22158V012122_HEALTH2145.pdf,Retail,https://irdai.gov.in/documents/37343/931203/SBIHLIP22158V012122_HEALTH2145.pdf/3c694d49-6698-db27-a41e-6baaea92345a?version=1.1&t=1668767356765&download=true
3,Non-Archived,2021-2022,Niva Bupa Health Insurance co ltd,NBHPAIP22153V012122,"Saral Suraksha Bima, Niva Bupa Health Insurance Co. Ltd.",24-08-2021,NBHPAIP22153V012122_HEALTH2138.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NBHPAIP22153V012122_HEALTH2138.pdf/5fc541d3-ca98-3cb0-6663-6938c8b610c6?version=1.1&t=1668766959079&download=true
3,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,SBIHLIP22137V032122,Arogya Top up Policy,30-07-2021,SBIHLIP22137V032122_HEALTH2143.pdf,Revision,https://irdai.gov.in/documents/37343/931203/SBIHLIP22137V032122_HEALTH2143.pdf/6370813a-97cf-75e4-63c5-ac10e2eafdbc?version=1.1&t=1668767288844&download=true
3,Non-Archived,2021-2022,HDFC ERGO General Insurance company Ltd,HDFTGBP22159V012122,Travelsure(Group),09-09-2021,HDFTGBP22159V012122_HEALTH2100.pdf,Group,https://irdai.gov.in/documents/37343/931203/HDFTGBP22159V012122_HEALTH2100.pdf/a5c70614-b475-dca6-cdd0-4e8d9868824e?version=1.1&t=1668842809674&download=true
3,Non-Archived,2021-2022,Niva Bupa Health Insurance co ltd,NBHHLIP22155V032122,Health Pulse,03-09-2021,NBHHLIP22155V032122_HEALTH2136.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NBHHLIP22155V032122_HEALTH2136.pdf/bbc8c177-4cef-4002-123e-6d72fefccb33?version=1.1&t=1668766849277&download=true
3,Non-Archived,2021-2022,Niva Bupa Health Insurance co ltd,NBHHLIP22156V032122,Health Recharge,03-09-2021,NBHHLIP22156V032122_HEALTH2137.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NBHHLIP22156V032122_HEALTH2137.pdf/905480e4-4dcd-831b-39b4-1edfeb74196f?version=1.1&t=1668766906943&download=true
3,Non-Archived,2021-2022,HDFC ERGO General Insurance company Ltd,HDFHLIP22145V032122,my:health Critical Suraksha Plus,06-08-2021,HDFHLIP22145V032122_HEALTH2099.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLIP22145V032122_HEALTH2099.pdf/7c1a2a96-26d2-f8f9-10ac-d177a9eafe6c?version=1.1&t=1668842706579&download=true
3,Non-Archived,2021-2022,Niva Bupa Health Insurance co ltd,NBHTIOP22148V012122,TravelAssure,12-08-2021,NBHTIOP22148V012122_HEALTH2139.pdf,Individual,https://irdai.gov.in/documents/37343/931203/NBHTIOP22148V012122_HEALTH2139.pdf/613b3c03-69ee-9856-09d5-2e91a09742fc?version=1.1&t=1668767117272&download=true
3,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,SBIHLIP22135V032122,Arogya Plus Policy,30-07-2021,SBIHLIP22135V032122_HEALTH2141.pdf,Revision,https://irdai.gov.in/documents/37343/931203/SBIHLIP22135V032122_HEALTH2141.pdf/e7f4df16-6ee8-8582-134d-af29a8763e91?version=1.1&t=1668767168288&download=true
3,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,SBIHLIP22136V032122,Arogya Premier Policy,30-07-2021,SBIHLIP22136V032122_HEALTH2142.pdf,Revision,https://irdai.gov.in/documents/37343/931203/SBIHLIP22136V032122_HEALTH2142.pdf/456087c3-98b3-6e74-2d8e-e94de9f14203?version=1.1&t=1668767203332&download=true
3,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,SBIHLIP22138V042122,Health Insurance Policy – Retail,30-07-2021,SBIHLIP22138V042122_HEALTH2144.pdf,Revision,https://irdai.gov.in/documents/37343/931203/SBIHLIP22138V042122_HEALTH2144.pdf/93390802-d6e4-8a5b-df26-8e5c71b3332c?version=1.1&t=1668767321266&download=true
4,Non-Archived,2021-2022,Go Digit General Insurance Co.Ltd,GODTGOA22173V012122,Digit On -the- Move Group Policy,29-12-2021,Digit On -the- Move Group Policy.pdf,Health,https://irdai.gov.in/documents/37343/931203/Digit+On+-the-+Move+Group+Policy.pdf/744a7bd4-a3d0-b7ac-33b2-7f73643d5198?version=1.1&t=1668753833346&download=true
4,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,SBIPAGP22181V012122,Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC,18-11-2021,Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC.pdf,Health,https://irdai.gov.in/documents/37343/931203/Optional+Travel+Insurance%28GPA%29+for+E-ticket+Passengers+of+IRCTC.pdf/ebd8c24f-3243-8b6f-d2d9-0a57271e1683?version=1.1&t=1668754445882&download=true
4,Non-Archived,2021-2022,Niva Bupa Health Insurance Co. Ltd.,NBHHLIA22175V012122,Zero Co-Pay,13-11-2021,Zero Co-Pay.pdf,Heath,https://irdai.gov.in/documents/37343/931203/Zero+Co-Pay.pdf/aa7e72d2-7c41-07b7-318e-bb5a894d25c9?version=1.1&t=1668754398798&download=true
4,Non-Archived,2021-2022,Liberty General Insurance Ltd.,LIBTGDP22171V012122,Optional Travel Insurance for E-ticket passengers - IRCTC,20-10-2021,Optional Travel Insurance for E-ticket passengers - IRCTC.pdf,Health,https://irdai.gov.in/documents/37343/931203/Optional+Travel+Insurance+for+E-ticket+passengers+-+IRCTC.pdf/18cb11aa-dd49-a61b-75ec-7584f6ae6fad?version=1.1&t=1668754356257&download=true
4,Non-Archived,2021-2022,Iffco Tokio General Insurance Company Ltd.,IFFHLIA22178V012122,Wellness Addon,03-11-2021,Wellness Addon.pdf,Health,https://irdai.gov.in/documents/37343/931203/Wellness+Addon.pdf/a0824499-2feb-7a9b-027b-6ac68642e1f6?version=1.1&t=1668754127625&download=true
4,Non-Archived,2021-2022,Iffco Tokio General Insurance Company Ltd.,IFFHLGA22170V012122,Welness Benefit Addon(Group),11-11-2021,Welness Benefit Addon(Group).pdf,Health,https://irdai.gov.in/documents/37343/931203/Welness+Benefit+Addon%28Group%29.pdf/2e3996bf-3b22-f641-0592-c061bbeb3152?version=1.1&t=1668753984805&download=true
4,Non-Archived,2021-2022,HDFC ERGO General Insurance Company Ltd.,HDFHLIP22193V072122,Optima Restore,28-12-2021,Optima Restore.pdf,health,https://irdai.gov.in/documents/37343/931203/Optima+Restore.pdf/65c079a4-f778-55c7-8056-0726c695130a?version=1.1&t=1668753919263&download=true
4,Non-Archived,2021-2022,HDFC ERGO General Insurance Company Ltd.,HDFHLIA22188V012122,Unlimited Restore (Add On ),08-12-2021,Unlimited Restore (Add On ).pdf,Health,https://irdai.gov.in/documents/37343/931203/Unlimited+Restore+%28Add+On+%29.pdf/c2b951fa-42d7-cf77-d9c7-d731ce16e8c1?version=1.1&t=1668753878694&download=true
4,Non-Archived,2021-2022,Star Health and Allied Insurance Co. Ltd.,SHAHLGP22134V012122,Star Group Critical Illness Multipay Insurance Policy,29-07-2021,Star Group Critical Illness Multipay Insurance Policy.pdf,Health,https://irdai.gov.in/documents/37343/931203/Star+Group+Critical+Illness+Multipay+Insurance+Policy.pdf/937f9348-a29a-7662-76ea-5c425cbc9314?version=1.1&t=1668754567064&download=true
4,Non-Archived,2021-2022,Go Digit General Insurance Co.Ltd,GODPAGP22191V012122,Group Credit Health Policy,28-12-2021,Group Credit Health Policy.pdf,Health,https://irdai.gov.in/documents/37343/931203/Group+Credit+Health+Policy.pdf/12bb59f8-3e6c-1d28-ab40-90a0faa1e3af?version=1.1&t=1668753757968&download=true
4,Non-Archived,2021-2022,Cholamandalam MS General Insurance Co. Ltd.,CHOHLGP22183V012122,Chola Group EMI Protect,22-11-2021,Chola Group EMI Protect.pdf,Health,https://irdai.gov.in/documents/37343/931203/Chola+Group+EMI+Protect.pdf/26071074-5458-1afa-b622-a7fe40f4d5e3?version=1.1&t=1668753707689&download=true
4,Non-Archived,2021-2022,Cholamandalam MS General Insurance Co. Ltd.,CHOHLGA22186V012122,Home Care Treatment,30-11-2021,Home Care Treatment.pdf,Health,https://irdai.gov.in/documents/37343/931203/Home+Care+Treatment.pdf/4aa44fe5-b9bf-4668-4302-7afa1ad3ac27?version=1.1&t=1668923300238&download=true
4,Non-Archived,2021-2022,Care Health Insurance Co. Ltd,CHIHLIP22071V012122,Care Classic,22-06-2021,Care Classic.pdf,Health,https://irdai.gov.in/documents/37343/931203/Care+Classic.pdf/7be83790-6e88-553b-b72b-a21de4930483?version=1.2&t=1668753400254&download=true
4,Non-Archived,2021-2022,Bajaj Allianz General Insuarnce Co. Ltd,BAJHLIP22192V032122,Silver Health,01-04-2021,Silver Health.pdf,Health,https://irdai.gov.in/documents/37343/931203/Silver+Health.pdf/8a2f35ac-0a8e-6e8e-d284-a44ea3c60caa?version=1.1&t=1668753337593&download=true
4,Non-Archived,2021-2022,Bajaj Allianz General Insurance Co. Ltd,BAJHLGP22165V012122,Flexi Health Protect Plan,01-10-2021,Flexi Health Protect(Group).pdf,Group Health,https://irdai.gov.in/documents/37343/931203/Flexi+Health+Protect%28Group%29.pdf/cc5ba02a-385a-ca3d-a607-61c0a798101e?version=1.1&t=1668753289313&download=true
4,Non-Archived,2021-2022,Bajaj Allianz General Insuarnce Co. Ltd,BAJHLGA22166V012122,Health Prime  (Group),01-10-2021,Health Prime  (Group).pdf,Group Health,https://irdai.gov.in/documents/37343/931203/Health+Prime++%28Group%29.pdf/d88bd8e6-ec85-12dd-9dd9-f6acf0498099?version=1.1&t=1668750077917&download=true
4,Non-Archived,2021-2022,ICICI Lombard GI Co. Ltd.,ICIHLIP22092V032122,Family Shield,02-07-2021,ICIHLIP22092V032122_HEALTH2105.pdf,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLIP22092V032122_HEALTH2105.pdf/a9f5172f-839f-84e7-dfa4-df80a27c0c0c?version=1.1&t=1668843142555&download=true
4,Non-Archived,2021-2022,ICICI Lombard GI Co. Ltd.,ICIHLGP22090V032122,Group Hospi Shield,02-07-2021,ICIHLGP22090V032122_HEALTH2104.pdf,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLGP22090V032122_HEALTH2104.pdf/1b791237-13f0-c9b2-917b-82b1f9b243a8?version=1.1&t=1668843084436&download=true
