Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,UIN,Product Name,Date of Approval,Documents,Type Of Product,document_link
37,Non-Archived,2020-2021,ICICI Lombard General  Insurance Co. Ltd,ICIHLIP21107V012021,"Corona Kavach Policy , ICICI Lombard",07-09-2020,ICIHLIP21107V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/ICIHLIP21107V012021_2020-2021.pdf/9d529c2b-1f7b-e7c1-cf84-dba0ab0600b4?version=1.1&t=1668154364970&download=true
37,Non-Archived,2020-2021,IFFCOTokio General Insurance Co. Ltd,IFFHLIP21081V012021,"Corona Kavach Policy, IFFCO Tokio General Insurance Co. Ltd",07-09-2020,IFFHLIP21081V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/IFFHLIP21081V012021_2020-2021.pdf/5eb8591d-27af-8ce5-e04d-d9004a70951b?version=1.1&t=1668154300330&download=true
37,Non-Archived,2020-2021,Universal Sompo General Insurance Co. Ltd.,UNIHLIP21411V032021,IOB Health Care Plus Policy,23-09-2020,UNIHLIP21411V032021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/UNIHLIP21411V032021_2020-2021.pdf/9fb467cc-bfff-6c82-2e6a-7a251f2be3f8?version=1.1&t=1668155518133&download=true
38,Non-Archived,2020-2021,Max Bupa Health Insurance Co Ltd,MAXHLIP21072V012021,"Corona Kavach Policy, Max Bupa Health Insurance Co. Ltd",07-09-2020,MAXHLIP21072V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/MAXHLIP21072V012021_2020-2021.pdf/ac183b42-1b8d-2e76-76d3-1c27b11d90e2?version=1.1&t=1668153230694&download=true
38,Non-Archived,2020-2021,Magma HDI General Insurance Co. Ltd,MAGHLIP21103V012021,"Corona Kavach Policy, Magma HDI",07-09-2020,MAGHLIP21103V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/MAGHLIP21103V012021_2020-2021.pdf/ccae59a5-8e48-0081-d81d-c4f2a53a467f?version=1.1&t=1668153298864&download=true
38,Non-Archived,2020-2021,Manipal Cigna Health Insurance Co Ltd,MCIHLIP21070V012021,"Corona Kavach Policy,Manipal Cigna",07-10-2020,MCIHLIP21070V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/MCIHLIP21070V012021_2020-2021.pdf/7a8a44a8-821a-c3e1-f95f-744b4d7f10dc?version=1.1&t=1668153171854&download=true
38,Non-Archived,2020-2021,Navi General Insurance Co. Ltd.,NAVHLIP21077V012021,"Corona Kavach Policy, Navi General Insurance Limited",07-10-2020,NAVHLIP21077V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/NAVHLIP21077V012021_2020-2021.pdf/8a9727bc-1d28-ffbd-faa9-15f5e305f967?version=1.1&t=1668153037739&download=true
38,Non-Archived,2020-2021,Oriental Insurance Co Ltd,OICHLIP21063V012021,"Corona Kavach Policy, Oriental",07-10-2020,OICHLIP21063V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/OICHLIP21063V012021_2020-2021.pdf/f68b0489-9685-a661-eafc-29a1890113a9?version=1.1&t=1668152975277&download=true
38,Non-Archived,2020-2021,Reliance General Insurance Co,RELHLIP21092V012021,"Corona Kavach Policy, Reliance General",07-01-2020,RELHLIP21092V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/RELHLIP21092V012021_2020-2021.pdf/78b055ef-eff7-3672-e772-8123e6c619fb?version=1.1&t=1668152910980&download=true
38,Non-Archived,2020-2021,Religare Health Insurance Co Ltd,RHIHLIP21087V012021,"Corona Kavach Policy ,Religare Health Insurance",07-09-2020,RHIHLIP21087V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/RHIHLIP21087V012021_2020-2021.pdf/035cc350-b499-2ecf-8ef1-082fde84dc67?version=1.1&t=1668152848473&download=true
38,Non-Archived,2020-2021,Raheja QBE General Insurance Co Ltd,RQBHLIP21084V012021,"Corona Kavach Policy, Raheja QBE General lnsurance Co Limited",07-09-2020,RQBHLIP21084V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/RQBHLIP21084V012021_2020-2021.pdf/143fbc34-7fb2-2dff-fdc7-55bd6d727840?version=1.1&t=1668152773565&download=true
38,Non-Archived,2020-2021,Royal Sundaram General Insurance Co. Ltd,RSAHLIP21094V012021,"Corona Kavach Policy, Royal Sundaram General Insurance Co. Ltd",07-10-2020,RSAHLIP21094V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/RSAHLIP21094V012021_2020-2021.pdf/6e340976-6625-500f-d777-05da9b76ec07?version=1.1&t=1668152690176&download=true
38,Non-Archived,2020-2021,SBI General Insurance Co.Ltd,SBIHLIP21090V012021,"Corona Kavach Policy, SBI  General Insurance   Company Limited",07-08-2020,SBIHLIP21090V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/SBIHLIP21090V012021_2020-2021.pdf/03f6f807-e4cf-be70-89ba-9d9da4f0cb6a?version=1.1&t=1668152626178&download=true
38,Non-Archived,2020-2021,National Insurance Co. Ltd,NICHLIP21091V012021,"Corona Kavach Policy, National",07-05-2020,NICHLIP21091V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/NICHLIP21091V012021_2020-2021.pdf/8bc6aec7-6026-6037-5996-5b0d23c2af59?version=1.1&t=1668153107312&download=true
38,Non-Archived,2020-2021,Star Health and Allied Insurance Co Ltd,SHAHLIP21066V012021,"Corona Kavach Policy,Star Health and Allied Insurance Co Ltd",07-10-2020,SHAHLIP21066V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/SHAHLIP21066V012021_2020-2021.pdf/8bf62024-2a9b-5018-b2d8-27b0fa16bccd?version=1.1&t=1668152443655&download=true
38,Non-Archived,2020-2021,TATA AIG General Insurance Co Ltd,TATHLIP21095V012021,"Corona Kavach Policy, TATA AIG General Insurance  Company Limited",07-10-2020,TATHLIP21095V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/TATHLIP21095V012021_2020-2021.pdf/44194f6f-b63e-783e-6fa4-6f0c503aa9b3?version=1.1&t=1668152378226&download=true
38,Non-Archived,2020-2021,United India Insurance Co. Ltd,UIIHLIP21085V012021,"Corona Kavach Policy, United India Insurance Company Limited",07-09-2020,UIIHLIP21085V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/UIIHLIP21085V012021_2020-2021.pdf/42be207f-8277-0a08-3260-1e925f533c3b?version=1.1&t=1668152300174&download=true
38,Non-Archived,2020-2021,Universal Sompo General Insurance Co. Ltd,UNIHLIP21102V012021,"Corona Kavach Policy,Universal Sompo General Insurance Company",07-10-2020,UNIHLIP21102V012021_2020-2021.pdf,New,https://irdai.gov.in/documents/37343/931203/UNIHLIP21102V012021_2020-2021.pdf/dfeeab3e-ddeb-f5fd-e65d-49ac1212f757?version=1.1&t=1668152225106&download=true
38,Non-Archived,2020-2021,Aditya Birla Health Insurance Co. Ltd.,ADIHLIP21136V012021,"Corona Rakshak Policy , Aditya Birla Health Insurance Co. Limited",31-07-2020,ADIHLIP21136V012021_2020-2021.pdf,Individual,https://irdai.gov.in/documents/37343/931203/ADIHLIP21136V012021_2020-2021.pdf/6428251c-e085-251a-f696-762e6fe9eaf5?version=1.1&t=1668580994378&download=true
38,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,BAJHLIP21127V032021,Health ensure,29-07-2020,BAJHLIP21127V032021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP21127V032021_2020-2021.pdf/d0c1d4ad-e6d8-4e68-a4c6-f576d6917251?version=1.1&t=1668581564300&download=true
38,Non-Archived,2020-2021,Cholamandalam MS General Insurance Co. Ltd.,CHOPAIP21419V022021,Individual Personal Accident Insurance,24-09-2020,CHOPAIP21419V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/CHOPAIP21419V022021_2020-2021.pdf/33a950d3-f179-e0a5-699e-138e3069f506?version=1.1&t=1668575625119&download=true
38,Non-Archived,2020-2021,HDFC ERGO Health Insurance Limited,HDHHLGP21148V012021,"Corona Kavach Policy , HDFC ERGO Health(Group)",14-08-2020,HDHHLGP21148V012021_2020-2021.pdf,Individual,https://irdai.gov.in/documents/37343/931203/HDHHLGP21148V012021_2020-2021.pdf/cbe424e9-557a-4f2a-7f38-111e85fef057?version=1.1&t=1668582235904&download=true
38,Non-Archived,2020-2021,HDFC ERGO Health Insurance Limited,HDHHLIP21341V022021,Optima Vital,21-09-2020,HDHHLIP21341V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDHHLIP21341V022021_2020-2021.pdf/b8afc924-1a66-f5ac-17cc-c6b8dd0485b1?version=1.1&t=1668583137855&download=true
39,Non-Archived,2020-2021,HDFC ERGO Health Insurance Limited,HDHHLIP21345V042021,Energy,21-09-2020,HDHHLIP21345V042021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/HDHHLIP21345V042021_2020-2021.pdf/4c36a1f6-e7d3-fb26-eebe-f0b0cf48d3d4?version=1.1&t=1668583279877&download=true
39,Non-Archived,2020-2021,ICICI LOMBARD General Insurance Co. Ltd.,ICIHLGP21382V022021,Group Takecare Insurance,22-09-2020,ICIHLGP21382V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLGP21382V022021_2020-2021.pdf/9f1f37f1-0fcd-2a8b-9ae9-b81b95df9abf?version=1.1&t=1668584390516&download=true
39,Non-Archived,2020-2021,The New India Assurance Co. Ltd.,NIAHLGP21284V022021,Standard  Group Janata Mediclaim Policy,18-09-2020,NIAHLGP21284V022021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/NIAHLGP21284V022021_2020-2021.pdf/1b82d1f9-d078-3b59-deb8-7bf1bfbe6fa3?version=1.1&t=1668594410828&download=true
39,Non-Archived,2020-2021,Liberty General Insurance Ltd.,MAGHLGP2123V022021,"Corona Rakshak Policy, Liberty General Insurance Limited",08-03-2020,MAGHLGP2123V022021_2020-2021.pdf,Individual,https://irdai.gov.in/documents/37343/931203/MAGHLGP2123V022021_2020-2021.pdf/0b0dd33a-b424-33b9-62f0-deebbbb88db5?version=1.1&t=1668592636680&download=true
39,Non-Archived,2020-2021,Max Bupa Health Insurance Co. Ltd,MAXHLGP21223V01202,Smart Health,09-04-2020,MAXHLGP21223V01202_2020-2021.pdf,Retail,https://irdai.gov.in/documents/37343/931203/MAXHLGP21223V01202_2020-2021.pdf/969774ae-9e95-bf04-a033-bf2dc8f4b178?version=1.1&t=1668594590651&download=true
39,Non-Archived,2020-2021,Max Bupa Health Insurance Co. Ltd,MAXHLIP21408V02202,Max Health Plus,23-09-2020,MAXHLIP21408V02202_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/MAXHLIP21408V02202_2020-2021.pdf/1fa52a81-37bd-ff34-7d1a-201fdbf741cc?version=1.1&t=1668595552880&download=true
39,Non-Archived,2020-2021,Raheja QBE General Insurance Co. Ltd.,RQBPAGP21518V032021,Group Personal Accident  Policy,30-09-2020,RQBPAGP21518V032021_2020-2021.pdf,Revision,https://irdai.gov.in/documents/37343/931203/RQBPAGP21518V032021_2020-2021.pdf/2770f942-b70c-6ba6-44d3-888d70c22230?version=1.1&t=1668749055476&download=true
