Page Number,Archive / Non Archive,S.no,Financial Year,Name of the Insurer,Product Name,Type Of Product,UIN,Date of Approval,Documents,document_link
87,Non-Archived,GEN3406,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Forest fire,Add on,IRDAN152RP0011V01201920/A0057V01201920,16-02-2020,IRDAN152RP0011V01201920A0057V01201920_GEN3406.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0057V01201920_GEN3406.pdf/5c57f549-1a55-6d96-51b9-026eb5f84ab2?version=1.1&t=1668338248797&download=true
87,Non-Archived,GEN3400,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Additional Towing charges,Add on,IRDAN152RP0006V02201516/A0098V01201920,16-02-2020,IRDAN152RP0006V02201516A0098V01201920_GEN3400.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0098V01201920_GEN3400.pdf/f2df61de-f81f-f014-ae5f-bc1ff2123ff5?version=1.1&t=1668337639262&download=true
87,Non-Archived,GEN3398,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - EMI Protect,Add on,IRDAN152RP0006V02201516/A0096V01201920,16-02-2020,IRDAN152RP0006V02201516A0096V01201920_GEN3398.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0096V01201920_GEN3398.pdf/a89bebbc-fc40-ac6c-082f-4e7ed08ce3f4?version=1.1&t=1668337479766&download=true
88,Non-Archived,GEN3417,2019-2020,Kotak Mahindra General Insurance Company Limited,KotakShopSecure-SectionI-Deteriorationofstocksincoldstorage premises due to accidental power failure,Add on,IRDAN152RP0011V01201920/A0068V01201920,16-02-2020,IRDAN152RP0011V01201920A0068V01201920_GEN3417.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0068V01201920_GEN3417.pdf/f83c39de-ac09-7869-df63-a4ada0ee829a?version=1.1&t=1668339929397&download=true
88,Non-Archived,GEN3408,2019-2020,Kotak Mahindra General Insurance Company Limited,"Kotak Shop Secure - Section I - Omission to insure additions, alterations or extensions",Add on,IRDAN152RP0011V01201920/A0059V01201920,16-02-2020,IRDAN152RP0011V01201920A0059V01201920_GEN3408.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0059V01201920_GEN3408.pdf/51342f35-e257-4dae-daec-4c23cf06dc5c?version=1.1&t=1668339008647&download=true
88,Non-Archived,GEN3415,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Start up expenses,Add on,IRDAN152RP0011V01201920/A0066V01201920,16-02-2020,IRDAN152RP0011V01201920A0066V01201920_GEN3415.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0066V01201920_GEN3415.pdf/b0434557-0a8b-13ef-4b99-8a40389a0727?version=1.1&t=1668339777221&download=true
88,Non-Archived,GEN3420,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section II - Claims preparation cost,Add on,IRDAN152RP0011V01201920/A0072V01201920,16-02-2020,IRDAN152RP0011V01201920A0072V01201920_GEN3420.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0072V01201920_GEN3420.pdf/0940c465-22af-22a2-8f48-37f0577b3551?version=1.1&t=1668340229652&download=true
88,Non-Archived,GEN3416,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Terrorism damage inclusion endorsement,Add on,IRDAN152RP0011V01201920/A0067V01201920,16-02-2020,IRDAN152RP0011V01201920A0067V01201920_GEN3416.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0067V01201920_GEN3416.pdf/5b4a9a77-6384-0d16-3340-4e545ebfdd67?version=1.1&t=1668339849797&download=true
88,Non-Archived,GEN3410,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Spoilage material damage cover,Add on,IRDAN152RP0011V01201920/A0061V01201920,16-02-2020,IRDAN152RP0011V01201920A0061V01201920_GEN3410.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0061V01201920_GEN3410.pdf/8b83280a-6182-1a76-464d-817c9de91b44?version=1.1&t=1668339346298&download=true
88,Non-Archived,GEN3412,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Shop Secure - Section I - Temporary removal of stocks clause,Add on,IRDAN152RP0011V01201920/A0063V01201920,16-02-2020,IRDAN152RP0011V01201920A0063V01201920_GEN3412.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0011V01201920A0063V01201920_GEN3412.pdf/6273cab4-b93c-668a-1bb3-cbb3bc70a7f9?version=1.1&t=1668339548951&download=true
