Page Number,Archive / Non Archive,S.no,Financial Year,Name of the Insurer,Product Name,Type Of Product,UIN,Date of Approval,Documents,document_link
1,Non-Archived,GEN4734,GEN4734,SBI General Insurance Company Limited,Enhanced PA Cover for Paid Driver,Add-on,IRDAN144RP0002V02201112/A0046V01202122,09-08-2021,IRDAN144RP0002V02201112A0046V01202122.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0002V02201112A0046V01202122.pdf/db2177ba-2197-17f1-0a21-3f7044207087?version=1.1&t=1668876527187&download=true
1,Non-Archived,GEN5187,2022-2023,यूनिवर्सल सोम्पो जनरल इंश्योरेंस सीओ. एलटीडी।,साइबर इंश्योरेंस पॉलिसी- रिटेल,मुख्य उत्पाद,IRDAN134RP0019V01202223,06-07-2022,IRDAN134RP0019V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0019V01202223.pdf/8cf8c42e-9c2b-8303-b6b6-9c086ee591d8?version=1.0&t=1675766684891&download=true
1,Non-Archived,GEN5125,2022-2023,Future Generali India Insurance Company Limited,Future Secure Two Wheeler Package Policy,Main Product,IRDAN132RP0016V02200708,24-05-2022,IRDAN132RP0016V02200708.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0016V02200708.pdf/71314d83-5bea-0c99-f4e7-ff2f3d45c4f7?version=1.0&t=1675765946316&download=true
1,Non-Archived,GEN5275,2022-2023,Universal Sompo General Insurance Co. Ltd.,Marine Cargo Insurance,Main Product,IRDAN134RP0032V01202223,22-09-2022,IRDAN134RP0032V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0032V01202223.pdf/ea453f74-e240-746c-625f-58f060a05e59?version=1.0&t=1675770028671&download=true
1,Non-Archived,GEN5085,2022-2023,Universal Sompo General Insurance Co. Ltd.,Cattle Insurance Policy,Main Product,IRDAN134RP0001V02200809,27-04-2022,IRDAN134RP0001V02200809.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0001V02200809.pdf/7f828afd-689f-e879-823b-b1b10ff929cf?version=1.0&t=1675766473581&download=true
1,Non-Archived,GEN5241,2022-2023,Universal Sompo General Insurance Co. Ltd.,Fidelity Guarantee Insurance Policy,Main Product,IRDAN134RP0025V01202223,29-07-2022,IRDAN134RP0025V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0025V01202223.pdf/c51b04ff-419d-811b-4a0c-21e825fc44ef?version=1.0&t=1675767614140&download=true
1,Non-Archived,GEN5239,2022-2023,Universal Sompo General Insurance Co. Ltd.,Contractor’s Plant & Machinery Insurance Policy- Retail,Main Product,IRDAN134RP0023V01202223,26-07-2022,IRDAN134RP0023V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0023V01202223.pdf/c25c2558-2699-9009-8edb-f352ea65c7f2?version=1.0&t=1675767383173&download=true
1,Non-Archived,GEN5184,2022-2023,Future Generali India Insurance Company Limited,Public Liability Act Insurance,Main Product,IRDAN132RP0020V01202223,13-06-2022,IRDAN132RP0020V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0020V01202223.pdf/d85d39b5-3a83-735a-94ed-2fb3fc966f67?version=1.0&t=1675766347488&download=true
1,Non-Archived,GEN5240,2022-2023,Universal Sompo General Insurance Co. Ltd.,Employees Compensation Insurance- Retail,Main Product,IRDAN134RP0024V01202223,29-07-2022,IRDAN134RP0024V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0024V01202223.pdf/7f38f2a5-6d68-66b4-13f4-07c50d990443?version=1.0&t=1675767502153&download=true
1,Non-Archived,GEN5244,2022-2023,Universal Sompo General Insurance Co. Ltd.,All Risks Insurance Policy-Retail,Main Product,IRDAN134RP0027V01202223,01-08-2022,IRDAN134RP0027V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0027V01202223.pdf/ba9273fb-d0a7-cf1a-c3d5-895c1977a8e0?version=1.0&t=1675768168489&download=true
1,Non-Archived,GEN5268,2022-2023,Universal Sompo General Insurance Co. Ltd.,Burglary Policy,Main Product,IRDAN134RP0029V01202223,07-09-2022,IRDAN134RP0029V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0029V01202223.pdf/4bcb866d-1f34-9381-7847-12a51ee0bca9?version=1.0&t=1675769647548&download=true
1,Non-Archived,GEN5237,2022-2023,Universal Sompo General Insurance Co. Ltd.,Contractors All Risk Insurance (Retail),Main Product,IRDAN134RP0021V01202223,26-07-2022,IRDAN134RP0021V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0021V01202223.pdf/f08863f1-677e-e519-edd5-6ef9499318f6?version=1.0&t=1675767141900&download=true
1,Non-Archived,GEN5242,2022-2023,Universal Sompo General Insurance Co. Ltd.,Money Insurance Policy,Main Product,IRDAN134RP0026V01202223,29-07-2022,IRDAN134RP0026V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0026V01202223.pdf/e383f9d7-b7ba-5206-2f96-c1d8a4706e50?version=1.0&t=1675767813536&download=true
1,Non-Archived,GEN5236,2022-2023,Universal Sompo General Insurance Co. Ltd.,Erection All Risk Insurance,Main Product,IRDAN134RP0020V01202223,26-07-2022,IRDAN134RP0020V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0020V01202223.pdf/3d4b1e45-faa4-4854-6b63-123c6ba35ef1?version=1.0&t=1675766956147&download=true
1,Non-Archived,GEN5183,2022-2023,Future Generali India Insurance Company Limited,Products Liability Insurance,Main Product,IRDAN132RP0019V01202223,13-06-2022,IRDAN132RP0019V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0019V01202223.pdf/d9b271c1-11db-434f-3bb5-2cbef6097937?version=1.0&t=1675766182617&download=true
1,Non-Archived,GEN5238,2022-2023,Universal Sompo General Insurance Co. Ltd.,Machinery Breakdown Insurance Policy - Retail,Main Product,IRDAN134RP0022V01202223,26-07-2022,IRDAN134RP0022V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0022V01202223.pdf/527bb9af-3f0a-cc02-ff62-01340569af61?version=1.0&t=1675767255733&download=true
1,Non-Archived,GEN5267,2022-2023,Universal Sompo General Insurance Co. Ltd.,Boiler And Pressure Plant Insurance Policy (Retail),Main Product,IRDAN134RP0030V01202223,07-09-2022,IRDAN134RP0030V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0030V01202223.pdf/1a112cd7-45e5-e291-64ad-76cc0cf776d1?version=1.0&t=1675769776857&download=true
1,Non-Archived,GEN5182,2022-2023,Future Generali India Insurance Company Limited,Public Liability Policy- Industrial Risks,Main Product,IRDAN132RP0018V01202223,13-06-2022,IRDAN132RP0018V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN132RP0018V01202223.pdf/d572580c-1ffd-4dfc-01d3-a5975748b76c?version=1.0&t=1675766062919&download=true
1,Non-Archived,GEN5270,2022-2023,Universal Sompo General Insurance Co. Ltd.,Consequential Loss - Fire Insurance Policy- Retail,Main Product,IRDAN134RP0031V01202223,14-09-2022,IRDAN134RP0031V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0031V01202223.pdf/774d1b3d-050e-8272-6b35-a61d5dd01af8?version=1.0&t=1675769908646&download=true
1,Non-Archived,GEN5269,2022-2023,Universal Sompo General Insurance Co. Ltd.,Electronic Equipment Insurance Policy,Main Product,IRDAN134RP0028V01202223,07-09-2022,IRDAN134RP0028V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0028V01202223.pdf/5a799801-7a38-f5ea-60fc-3a20115fb6f6?version=1.0&t=1675768346332&download=true
2,Non-Archived,GEN5032,2022-2023,Universal Sompo General Insurance Co. Ltd.,9. Cost of Clearing Drains Clause,Add-on,IRDAN134RP0035V01202021/A0017V01202223,07-04-2022,IRDAN134RP0035V01202021A0017V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0017V01202223.pdf/c5abd862-3138-b9b0-4865-4eb660a45163?version=1.0&t=1676421315494&download=true
2,Non-Archived,GEN5031,2022-2023,Universal Sompo General Insurance Co. Ltd.,8. Protection and Preservation of Property,Add-on,IRDAN134RP0035V01202021/A0016V01202223,07-04-2022,IRDAN134RP0035V01202021A0016V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0016V01202223.pdf/012591e5-6e48-ef8e-7aaf-62a9d624ce51?version=1.0&t=1677136370520&download=true
2,Non-Archived,GEN5035,2022-2023,Universal Sompo General Insurance Co. Ltd.,1. Obsolete Parts,Add-on,IRDAN134RP0035V01202021/A0010V01202223,07-04-2022,IRDAN134RP0035V01202021A0010V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0010V01202223.pdf/082c67a7-c97a-43ba-a034-e30290b4a46f?version=1.0&t=1677136207061&download=true
2,Non-Archived,GEN5027,2022-2023,Universal Sompo General Insurance Co. Ltd.,of Rent and Additional Expenses of Rent for an Alternate Premises,Add-on,IRDAN134RP0035V01202021/A0012V01202223,07-04-2022,IRDAN134RP0035V01202021A0012V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0012V01202223.pdf/8244884b-dbad-9949-3806-c8b3ad77b465?version=1.0&t=1677136205308&download=true
2,Non-Archived,GEN5029,2022-2023,Universal Sompo General Insurance Co. Ltd.,5. Involuntary Betterment,Add-on,IRDAN134RP0035V01202021/A0014V01202223,07-04-2022,IRDAN134RP0035V01202021A0014V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0014V01202223.pdf/76bf3242-a99c-9ead-2a50-8fb1b40b374b?version=1.0&t=1677136372357&download=true
2,Non-Archived,GEN5026,2022-2023,Universal Sompo General Insurance Co. Ltd.,2. Accidental Damage Cover,Add-on,IRDAN134RP0035V01202021/A0011V01202223,07-04-2022,IRDAN134RP0035V01202021A0011V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0011V01202223.pdf/83f70421-3aa4-bdb3-ab6c-3fcabc4a455e?version=1.0&t=1677136206194&download=true
2,Non-Archived,GEN5028,2022-2023,Universal Sompo General Insurance Co. Ltd.,4. Escalation Clause,Add-on,IRDAN134RP0035V01202021/A0013V01202223,07-04-2022,IRDAN134RP0035V01202021A0013V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0013V01202223.pdf/31dc60ab-a0fa-987a-08c4-1723cf375188?version=1.0&t=1677136204246&download=true
2,Non-Archived,GEN5271,2022-2023,Universal Sompo General Insurance Co. Ltd.,Errors & Omissions Insurance Policy,Main Product,IRDAN134RP0035V01202223,22-09-2022,IRDAN134RP0035V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202223.pdf/24ceeb46-2db2-cb5f-5346-60627fc7b094?version=1.0&t=1677136368581&download=true
2,Non-Archived,GEN5030,2022-2023,Universal Sompo General Insurance Co. Ltd.,7. Additional Removal Of Debris Including Foreign Debris,Add-on,IRDAN134RP0035V01202021/A0015V01202223,07-04-2022,IRDAN134RP0035V01202021A0015V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0015V01202223.pdf/aac5558a-1a17-c525-a1ea-1ff5cb06e3af?version=1.0&t=1677136371497&download=true
2,Non-Archived,GEN5033,2022-2023,Universal Sompo General Insurance Co. Ltd.,10. Extra Expense,Add-on,IRDAN134RP0035V01202021/A0018V01202223,07-04-2022,IRDAN134RP0035V01202021A0018V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0035V01202021A0018V01202223.pdf/df558357-ecf7-fbda-916a-ede398010bc2?version=1.0&t=1677136369544&download=true
2,Non-Archived,GEN5021,2022-2023,Universal Sompo General Insurance Co. Ltd.,5. Involuntary Betterment,Add-on,IRDAN134RP0034V01202021/A0005V01202223,07-04-2022,IRDAN134RP0034V01202021A0005V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0005V01202223.pdf/37da698a-19fe-4860-e7c0-ae4773f58a59?version=1.0&t=1677136211732&download=true
2,Non-Archived,GEN5023,2022-2023,Universal Sompo General Insurance Co. Ltd.,8. Protection and Preservation of Property,Add-on,IRDAN134RP0034V01202021/A0007V01202223,07-04-2022,IRDAN134RP0034V01202021A0007V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0007V01202223.pdf/c3064ebc-674c-35ef-2a6a-a6871f18c4e0?version=1.0&t=1677136210893&download=true
2,Non-Archived,GEN5277,2022-2023,Universal Sompo General Insurance Co. Ltd.,Business Shield – Sookshma Udyam,Main Product,IRDAN134RP0034V01202223,22-09-2022,IRDAN134RP0034V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202223.pdf/262b38e9-6557-fa70-bc9d-dfa80fb75021?version=1.0&t=1677136207963&download=true
2,Non-Archived,GEN5034,2022-2023,Universal Sompo General Insurance Co. Ltd.,1.	Obsolete Parts,Add-on,IRDAN134RP0034V01202021/A0001V01202223,07-04-2022,IRDAN134RP0034V01202021A0001V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0001V01202223.pdf/83b5c2c1-2a43-5651-132e-abbf1391e762?version=1.0&t=1675770952667&download=true
2,Non-Archived,GEN5018,2022-2023,Universal Sompo General Insurance Co. Ltd.,2. Accidental Damage Cover,Add-on,IRDAN134RP0034V01202021/A0002V01202223,07-04-2022,IRDAN134RP0034V01202021A0002V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0002V01202223.pdf/1328582f-9e88-b9a7-de8a-33df06cba496?version=1.0&t=1675830055269&download=true
2,Non-Archived,GEN5019,2022-2023,Universal Sompo General Insurance Co. Ltd.,of Rent and Additional Expenses of Rent for an Alternate Premises,Add-on,IRDAN134RP0034V01202021/A0003V01202223,07-04-2022,IRDAN134RP0034V01202021A0003V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0003V01202223.pdf/26e507f7-d572-964c-1518-243f7bbf33d4?version=1.0&t=1675830451418&download=true
2,Non-Archived,GEN5020,2022-2023,Universal Sompo General Insurance Co. Ltd.,4. Escalation Clause,Add-on,IRDAN134RP0034V01202021/A0004V01202223,07-04-2022,IRDAN134RP0034V01202021A0004V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0004V01202223.pdf/a1263e68-64a8-6268-c9c5-7b7b837a88d2?version=1.0&t=1677136212706&download=true
2,Non-Archived,GEN5025,2022-2023,Universal Sompo General Insurance Co. Ltd.,10.  Extra Expense,Add-on,IRDAN134RP0034V01202021/A0009V01202223,07-04-2022,IRDAN134RP0034V01202021A0009V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0009V01202223.pdf/f600a2e0-03ea-ff4a-acf0-bbba033a130f?version=1.0&t=1677136209170&download=true
2,Non-Archived,GEN5276,2022-2023,Universal Sompo General Insurance Co. Ltd.,Banker’s Indemnity- Sookshma Udyam,Main Product,IRDAN134RP0033V01202223,22-09-2022,IRDAN134RP0033V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0033V01202223.pdf/894709fc-d7f5-5433-c122-6a1a0c4e6218?version=1.0&t=1675770314662&download=true
2,Non-Archived,GEN5024,2022-2023,Universal Sompo General Insurance Co. Ltd.,9. Cost of Clearing Drains Clause,Add-on,IRDAN134RP0034V01202021/A0008V01202223,07-04-2022,IRDAN134RP0034V01202021A0008V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0034V01202021A0008V01202223.pdf/cfe1819b-edda-da4b-c0be-47e61354189a?version=1.0&t=1677136210012&download=true
3,Non-Archived,GEN5077,2022-2023,Raheja QBE General Insurance Company Limited,The Raheja QBE General Insurance Co Ltd Bharat Laghu Udyam Suraksha,Main Product,IRDAN141RP0042V02202021,22-04-2022,IRDAN141RP0042V02202021.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN141RP0042V02202021.pdf/1fd7db2f-f889-cc67-b34b-1ccdc3f019b7?version=1.0&t=1677136360328&download=true
3,Non-Archived,GEN5079,2022-2023,Raheja QBE General Insurance Company Limited,Raheja QBE Bharat Griha Raksha,Main Product,IRDAN141RP0041V02202021,22-04-2022,IRDAN141RP0041V02202021.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN141RP0041V02202021.pdf/3359e92e-7f95-0431-0f0a-f6227723ff4e?version=1.0&t=1677136361508&download=true
3,Non-Archived,GEN5181,2022-2023,Shriram General Insurance Company Limited,Shri Electric Bike (E-Bike) Insurance,Main Product,IRDAN137RP0001V01202223,13-06-2022,IRDAN137RP0001V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN137RP0001V01202223.pdf/82730f18-d207-0704-4292-adcb14e830cc?version=1.0&t=1677136364618&download=true
3,Non-Archived,GEN5060,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Laghu Udyam Suraksha - Deterioration of Stocks,Add-on,IRDAN144RP0030V01202021/A0002V01202223,21-04-2022,IRDAN144RP0030V01202021A0002V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0030V01202021A0002V01202223.pdf/deb5095a-90ea-d282-c3cb-fd797e7805d1?version=1.0&t=1677136357319&download=true
3,Non-Archived,GEN5078,2022-2023,Raheja QBE General Insurance Company Limited,The Raheja QBE General Insurance Co Ltd Bharat Sookshma Udyam Suraksha,Main Product,IRDAN141RP0040V02202021,22-04-2022,IRDAN141RP0040V02202021.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN141RP0040V02202021.pdf/18125f67-915f-8b9c-eb7a-616214636d99?version=1.0&t=1677136362627&download=true
3,Non-Archived,GEN5287,2022-2023,Universal Sompo General Insurance Co. Ltd.,House Holder’s Insurance Policy,Main Product,IRDAN134RP0041V01202223,19-10-2022,IRDAN134RP0041V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0041V01202223.pdf/d0cc5914-c57d-9cdb-a406-3dbf2ee880e5?version=1.0&t=1677136365891&download=true
3,Non-Archived,GEN5141,2022-2023,SBI General Insurance Company Limited,Emergency Medical Expenses,Add-on,IRDAN144RP0001V01201920/A0012V01202223,26-05-2022,IRDAN144RP0001V01201920A0012V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0001V01201920A0012V01202223.pdf/91909286-e935-7932-5d3f-515b9f4fcd58?version=1.0&t=1677136359525&download=true
3,Non-Archived,GEN5119,2022-2023,Raheja QBE General Insurance Company Limited,Plate Glass & Neon Signs/ Glow Signs Insurance,Main Product,IRDAN141RP0028V02200910,17-05-2022,IRDAN141RP0028V02200910.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN141RP0028V02200910.pdf/27f149c8-8c8e-e202-e5e5-ad72db454d71?version=1.0&t=1677136363753&download=true
3,Non-Archived,GEN5070,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Laghu Udyam Suraksha - EMI Protection cover,Add-on,IRDAN144RP0030V01202021/A0005V01202223,21-04-2022,IRDAN144RP0030V01202021A0005V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0030V01202021A0005V01202223.pdf/def1eb12-1313-96d0-6bbf-77d230ad2b11?version=1.0&t=1677059426966&download=true
3,Non-Archived,GEN5076,2022-2023,SBI General Insurance Company Limited,Emergency Medical Expenses,Add-on,IRDAN144RP0005V03201112/A0001V01202223,21-04-2022,IRDAN144RP0005V03201112A0001V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0005V03201112A0001V01202223.pdf/f81d04cc-d18a-3d96-ce1b-48a355ad749e?version=1.0&t=1677136358770&download=true
3,Non-Archived,GEN5069,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Laghu Udyam Suraksha - Adequacy of Sum Insured,Add-on,IRDAN144RP0030V01202021/A0004V01202223,21-04-2022,IRDAN144RP0030V01202021A0004V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0030V01202021A0004V01202223.pdf/8a32492e-0fd9-55c5-dc6d-96c3c73e1736?version=1.0&t=1677059427587&download=true
3,Non-Archived,GEN5072,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Sookshma Udyam Suraksha - Adequacy of Sum Insured,Add-on,IRDAN144RP0031V01202021/A0008V01202223,21-04-2022,IRDAN144RP0031V01202021A0008V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0031V01202021A0008V01202223.pdf/89e3c0df-fce4-506b-dd6c-2dca28837efa?version=1.0&t=1676422835764&download=true
3,Non-Archived,GEN5061,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Sookshma Udyam Suraksha - Deterioration of Stocks,Add-on,IRDAN144RP0031V01202021/A0007V01202223,21-04-2022,IRDAN144RP0031V01202021A0007V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0031V01202021A0007V01202223.pdf/19758d81-70ec-bd73-7dba-0f5c48d97a64?version=1.0&t=1676422784728&download=true
3,Non-Archived,GEN5071,2022-2023,SBI General Insurance Company Limited,SBIGeneralBharatLaghuUdyamSuraksha - Loss of RentandAdditionalExpensesofRent foranAlternatePremises,Add-on,IRDAN144RP0030V01202021/A0006V01202223,21-04-2022,IRDAN144RP0030V01202021A0006V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0030V01202021A0006V01202223.pdf/fe89471b-9d2a-8064-575d-7f8663592b3f?version=1.0&t=1677059426354&download=true
3,Non-Archived,GEN5074,2022-2023,SBI General Insurance Company Limited,Involuntary betterment/technological advancements/obsolete equipment clause,Add-on,IRDAN144RP0031V01202021/A0009V01202223,21-04-2022,IRDAN144RP0031V01202021A0009V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0031V01202021A0009V01202223.pdf/c57b4249-66d4-eed1-3418-b88946a54ff4?version=1.0&t=1677059425817&download=true
3,Non-Archived,GEN5068,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Laghu Udyam Suraksha - Leakage and Contamination Cover,Add-on,IRDAN144RP0030V01202021/A0003V01202223,21-04-2022,IRDAN144RP0030V01202021A0003V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0030V01202021A0003V01202223.pdf/f5707b5d-2b60-ee60-cd89-4b639156553b?version=1.0&t=1677136356314&download=true
3,Non-Archived,GEN5073,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Sookshma Udyam Suraksha - EMI Protection cover,Add-on,IRDAN144RP0031V01202021/A0011V01202223,21-04-2022,IRDAN144RP0031V01202021A0011V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0031V01202021A0011V01202223.pdf/d7c0dd3d-2736-ffcd-df09-7e63bba7cf35?version=1.0&t=1677059424705&download=true
3,Non-Archived,GEN5126,2022-2023,SBI General Insurance Company Limited,Emergency Medical Expenses,Add-on,IRDAN144RP0006V02201819/A0013V01202223,26-05-2022,IRDAN144RP0006V02201819A0013V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0006V02201819A0013V01202223.pdf/0ca11365-9147-3c10-ff5b-1e5abbb98c73?version=1.0&t=1677136358077&download=true
3,Non-Archived,GEN5283,2022-2023,Universal Sompo General Insurance Co. Ltd.,Jeweller’s Comprehensive - Sookshma Udyam,Main Product,IRDAN134RP0036V01202223,04-10-2022,IRDAN134RP0036V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN134RP0036V01202223.pdf/52d64fcc-dcc2-b507-65e8-f0ba79c4e9da?version=1.0&t=1677136366958&download=true
3,Non-Archived,GEN5075,2022-2023,SBI General Insurance Company Limited,SBI General Bharat Sookshma Udyam Suraksha - Leakage and Contamination Cover,Add-on,IRDAN144RP0031V01202021/A0010V01202223,21-04-2022,IRDAN144RP0031V01202021A0010V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN144RP0031V01202021A0010V01202223.pdf/17216370-93e6-a9f0-ab8b-f0359c594c9f?version=1.0&t=1677059425235&download=true
4,Non-Archived,GEN5171,2022-2023,Magma HDI General Insurance Company Limited,Consequential Damage to  Engine- Bundled,Add-on,IRDAN149RP0003V01201819/A0023V02201819,02-06-2022,IRDAN149RP0003V01201819A0023V02201819.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN149RP0003V01201819A0023V02201819.pdf/4377dcbf-1615-8604-63fb-cd023ebaef70?version=1.0&t=1677059422924&download=true
4,Non-Archived,GEN5172,2022-2023,Magma HDI General Insurance Company Limited,Cover for consequential damage to engine Add-on cover under private car package policy,Add-on,IRDAN149RP0001V02201213/A0026V02201314,02-06-2022,IRDAN149RP0001V02201213A0026V02201314.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN149RP0001V02201213A0026V02201314.pdf/c9004dfe-94dc-6184-9770-a3c3403380e3?version=1.0&t=1677059423624&download=true
4,Non-Archived,GEN5177,2022-2023,Liberty General Insurance Limited,EV Secure Two Wheeler,Add-on,IRDAN150RP0002V01201920/A0004V01202223,06-06-2022,IRDAN150RP0002V01201920A0004V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN150RP0002V01201920A0004V01202223.pdf/447cb04f-6d21-f084-d172-12ed99f33c8b?version=1.0&t=1677059420455&download=true
4,Non-Archived,GEN5174,2022-2023,iberty General Insurance Limited,EV Secure Two Wheeler,Add on,LIRDAN150RP0007V01201819/A0001V01202223,06-06-2022,IRDAN150RP0007V01201819A0001V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN150RP0007V01201819A0001V01202223.pdf/4b32cf17-9df2-2c30-be0a-2000e3392f3b?version=1.0&t=1677059418912&download=true
4,Non-Archived,GEN5176,2022-2023,Liberty General Insurance Limited,EV Secure Two Wheeler,Add-on,IRDAN150RP0002V01201516/A0003V01202223,06-06-2022,IRDAN150RP0002V01201516A0003V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN150RP0002V01201516A0003V01202223.pdf/eb2bd779-0c97-d40a-5400-bb6eb8c2eab3?version=1.0&t=1677059421044&download=true
4,Non-Archived,GEN5063,2022-2023,Liberty General Insurance Limited,Gap Value Cover - Bundled Cover,Add-on,IRDAN150RP0004V01201819/A0024V02201819,21-04-2022,IRDAN150RP0004V01201819A0024V02201819.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN150RP0004V01201819A0024V02201819.pdf/0c1c87f5-0d56-031f-5017-c812f3f89b7f?version=1.0&t=1677059419840&download=true
4,Non-Archived,GEN5065,2022-2023,Liberty General Insurance Limited,Gap Value Cover,Add-on,IRDAN150RP0001V01201920/A0005V02201920,21-04-2022,IRDAN150RP0001V01201920A0005V02201920.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN150RP0001V01201920A0005V02201920.pdf/c3babb80-a3be-1af1-a161-76a167c2153d?version=1.0&t=1677059421644&download=true
4,Non-Archived,GEN5175,2022-2023,Liberty General Insurance Limited,EV Secure Two Wheeler,Add-on,IRDAN150RP0001V01201213/A0002V01202223,06-06-2022,IRDAN150RP0001V01201213A0002V01202223.pdf,https://irdai.gov.in/documents/37343/993134/IRDAN150RP0001V01201213A0002V01202223.pdf/87307190-3cf2-a3b4-9653-c095bbd45d63?version=1.0&t=1677059422338&download=true
