Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,Product Name,UIN,Type Of Product,Date Of Launch/Effecting Modification,Date Of Closing / Withdrawal,Protection/ Savings/ Retirement,Par/Non-par,Individual/Group,Remarks,Download,document_link
11,Non-Archived,2020-21,Star Union Dai-ichi Life Insurance Co.Ltd,Star Union Dai-ichi’s Guaranteed Money Back Plan,142N036V04,Non-ULIP,2020-07-0909-07-2020,----,Savings,Non-Par,Individual,,GMB Pol doc V.4.1 (website)_2020-21426 KB,https://irdai.gov.in/documents/37343/563751/GMB+Pol+doc+V.4.1+%28website%29_2020-21.pdf/2752d709-48fb-4e50-98ce-93b06f4a4ea2?version=1.1&t=1667459425118&download=true
11,Non-Archived,2020-21,Star Union Dai-ichi Life Insurance Co.Ltd,SUD Life New Sampoorna Loan Suraksha,142N078V01,Non-ULIP,2020-09-1616-09-2020,----,Protection,Non-Par,Group,,New Sampoorna_Master Pol doc 1.15 (website)_2020-21886 KB,https://irdai.gov.in/documents/37343/563751/New+Sampoorna_Master+Pol+doc+1.15+%28website%29_2020-21.pdf/7da9a712-ac76-b089-42cf-48ea93be5a69?version=1.1&t=1667460425882&download=true
11,Non-Archived,2020-21,Star Union Dai-ichi Life Insurance Co.Ltd,SUD Life Saral Jeevan Bima,142N079V01,Non-ULIP,2021-02-1111-02-2021,----,Protection,Non-Par,Individual,,Saral Jeevan Bima PD V_1_5 (final)_2020-21627 KB,https://irdai.gov.in/documents/37343/563751/Saral+Jeevan+Bima+PD+V_1_5+%28final%29_2020-21.pdf/dc4af66a-d7ca-94d8-62a4-432805c9f5ed?version=1.1&t=1667460523120&download=true
11,Non-Archived,2021-2022,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Smart Protect Goal - Life Cover with Child Education Extra Cover Variant,116N163V03,Non-ULIP,2022-01-0303-01-2022,2023-03-0505-03-2023,Protection,Non PAR,Individual,,Bajaj Allianz Life Smart Protect Goal- Life Cover with Child Education Extra Cover Variant-UIN-116N163V03.pdf491 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Smart+Protect+Goal-+Life+Cover+with+Child+Education+Extra+Cover+Variant-UIN-116N163V03.pdf/eaec0efc-754b-15bb-b543-b1026891dd0a?version=1.0&t=1756716288495&download=true
12,Non-Archived,2020-21,Bharti AXA Life Insurance Co. Ltd,Bharti AXA Life Group Term Micro Insurance Plan,130N099V01,Non-ULIP,2020-08-1111-08-2020,----,Protection,Non-Par,Group,,Bharti-AXA-Life-Group-Term-micro-Insurance-Plan-Policy-Document-Joint-Life_2020-21699 KB,https://irdai.gov.in/documents/37343/563751/Bharti-AXA-Life-Group-Term-micro-Insurance-Plan-Policy-Document-Joint-Life_2020-21.pdf/45f59deb-f8e0-c4b8-99d2-2d6042f05587?version=1.1&t=1667460570339&download=true
12,Non-Archived,2020-21,Bharti AXA Life Insurance Co. Ltd,Bharti AXA Life Wealth Pro,130L100V01,ULIP,2020-08-0505-08-2020,----,Savings/Investment,Non-Par,Individual,,130L100V01Bharti AXA Life Wealth Pro - Policy Document_2020-21697 KB,https://irdai.gov.in/documents/37343/563751/130L100V01Bharti+AXA+Life+Wealth+Pro+-+Policy+Document_2020-21.pdf/f0c0f255-7058-a190-c939-8e972da46d6d?version=1.1&t=1667460459535&download=true
12,Non-Archived,2020-21,Bajaj Allianz Life Insurance Co. Ltd,Bajaj Allianz Life Guaranteed Pension Goal,116N167V01,Non-ULIP,2021-02-2525-02-2021,2021-08-1818-08-2021,Savings/Retirement,Non-par,Individual,Immediate/Deferred Annuity Plan,guaranteed-pension-goal-policy-doc_2020-21214 KB,https://irdai.gov.in/documents/37343/563751/guaranteed-pension-goal-policy-doc_2020-21.pdf/95f698fa-db41-a9a8-73fb-7958a6593df6?version=1.1&t=1667458522801&download=true
12,Non-Archived,2020-21,SBI Life Insurance Co. Ltd.,SBI Life - New Smart Samriddhi,111N129V01,Non-Linked,2021-03-1111-03-2021,----,Savings,Non-Par,Individual,,SBI Life - New Smart Samriddhi_PD_2020-211.3 MB,https://irdai.gov.in/documents/37343/563751/SBI+Life+-+New+Smart+Samriddhi_PD_2020-21.pdf/6d5deef9-793d-4ff1-94ae-361aaee0ebec?version=1.1&t=1668076739667&download=true
12,Non-Archived,2020-21,Bharti AXA Life Insurance Co. Ltd,Bharti AXA Life Group Term Micro Insurance Plan,130N099V01,Non-ULIP,2020-08-1111-08-2020,----,Protection,Non-Par,Group,,Bharti-AXA-Life-Group-Term-micro-Insurance-Plan-Policy-Document-Single-Life_2020-21701 KB,https://irdai.gov.in/documents/37343/563751/Bharti-AXA-Life-Group-Term-micro-Insurance-Plan-Policy-Document-Single-Life_2020-21.pdf/09bc4b88-a507-b69d-b715-ef50da78a547?version=1.1&t=1667460683400&download=true
12,Non-Archived,2020-21,SBI Life Insurance Co. Ltd.,SBI Life – Swarna Jeevan,111N049V05,Non-Linked,2020-08-1111-08-2020,2020-11-0404-11-2020,Retirement,Non-Par,Group,,Policy Document_Form No 557_SBI Life - Swarna Jeevan V05_Website Upload_2020-21374 KB,https://irdai.gov.in/documents/37343/563751/Policy+Document_Form+No+557_SBI+Life+-+Swarna+Jeevan+V05_Website+Upload_2020-21.pdf/ba16a887-dd64-6536-45bc-b7b941e3473c?version=1.1&t=1668076008509&download=true
