Page Number,Archive / Non Archive,Financial Year,Name of the Insurer,Product Name,UIN,Type Of Product,Date Of Launch/Effecting Modification,Date Of Closing / Withdrawal,Protection/ Savings/ Retirement,Par/Non-par,Individual/Group,Remarks,Download,document_link
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Titanium Plus Plan,136L063V01,ULIP,2018-06-0404-06-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L063V01_FY 2018-19616 KB,https://irdai.gov.in/documents/37343/563751/136L063V01_FY+2018-19.pdf/3b9f4b97-7045-f82b-2413-c1396eb3dffb?version=1.1&t=1667623221026&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Immediate Income Plan,136N034V02,Non-ULIP,2018-08-0606-08-2018,2018-11-0404-11-2018,Retirement,Non-par,Individual,Immediate Annuity,136N034V02_FY 2018-19480 KB,https://irdai.gov.in/documents/37343/563751/136N034V02_FY+2018-19.pdf/858b47fd-cf45-b763-bd9b-d822684e9b2e?version=1.1&t=1667629887227&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Lifetime Income Plan,107N103V02,,2018-11-1515-11-2018,----,,,,,107N103V02_FY 2018-19476 KB,https://irdai.gov.in/documents/37343/563751/107N103V02_FY+2018-19.pdf/66444c5a-6de1-cc9e-eb34-548431c1c363?version=1.1&t=1668072064715&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Complete Cover Group Plan,107N018V06,,2018-10-3131-10-2018,----,,,,,107N018V06_FY 2018-19387 KB,https://irdai.gov.in/documents/37343/563751/107N018V06_FY+2018-19.pdf/9d46ccae-2c21-5320-49f7-c3b9331a7f83?version=1.1&t=1668072017231&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Term Group Plan,107N007V06,,2018-10-2828-10-2018,----,,,,,107N007V06_FY 2018-19343 KB,https://irdai.gov.in/documents/37343/563751/107N007V06_FY+2018-19.pdf/dcb44a4f-11af-ba09-004d-dc83325b5e58?version=1.1&t=1668071974266&download=true
1,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Raksha Group Micro Insurance Plan,107N101V02,,2018-05-0606-05-2018,----,,,,,107N101V02_FY 2018-19292 KB,https://irdai.gov.in/documents/37343/563751/107N101V02_FY+2018-19.pdf/90c5668c-2fd8-a2e7-7dc8-1a56ed1b1110?version=1.1&t=1668071921532&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Samridh Bhavishya,136N038V03,Non-ULIP,2018-04-0909-04-2018,2019-11-3030-11-2019,Retirement,Non-par,Individual,Immediate Annuity,136N038V03_FY 2018-19395 KB,https://irdai.gov.in/documents/37343/563751/136N038V03_FY+2018-19.pdf/74e2d668-3a98-d281-dacb-498d1a8c45d3?version=1.1&t=1667630197764&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Future Plan,136L037V04,ULIP,2018-05-2121-05-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L037V04_FY 2018-19660 KB,https://irdai.gov.in/documents/37343/563751/136L037V04_FY+2018-19.pdf/b1463e93-0b3e-68aa-116d-f983d4e56c18?version=1.1&t=1667630079576&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Immediate Income Plan,136N034V03,Non-ULIP,2018-11-0505-11-2018,2019-02-1010-02-2019,Retirement,Non-par,Individual,Immediate Annuity,136N034V03_FY 2018-19496 KB,https://irdai.gov.in/documents/37343/563751/136N034V03_FY+2018-19.pdf/d54c0626-e32b-b087-12b0-5d109c83f08e?version=1.1&t=1667629995798&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Guaranteed Savings Plan,136N066V01,Non-ULIP,2018-11-0505-11-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136N066V01_FY 2018-19532 KB,https://irdai.gov.in/documents/37343/563751/136N066V01_FY+2018-19.pdf/2e8fc716-88d1-6d1f-d253-9987c3f033aa?version=1.1&t=1667623501584&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance iSelect Term Plan,136N045V02,Non-ULIP,2018-12-1717-12-2018,2019-11-0404-11-2019,Protection,Non-par,Individual,,136N045V02_FY 2018-19685 KB,https://irdai.gov.in/documents/37343/563751/136N045V02_FY+2018-19.pdf/b922f219-8bf7-0926-9c05-46b6cb3c35b9?version=1.1&t=1667630427335&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Goals Plan,136L031V04,ULIP,2018-05-2121-05-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L031V04_FY 2018-19753 KB,https://irdai.gov.in/documents/37343/563751/136L031V04_FY+2018-19.pdf/ed23469c-223b-4fad-5169-ab56fe7e8f5b?version=1.1&t=1667629467383&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Smart Lifelong Plan,136L032V04,ULIP,2018-05-2121-05-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L032V04_FY 2018-19703 KB,https://irdai.gov.in/documents/37343/563751/136L032V04_FY+2018-19.pdf/9f6facbe-5069-6f08-65d1-bba19cfd3914?version=1.1&t=1667629667797&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Group Credit Secure Plan,136N065V01,Non-ULIP,2018-07-2323-07-2018,2019-11-0404-11-2019,Protection,Non-par,Group,,136N065V01_FY 2018-19787 KB,https://irdai.gov.in/documents/37343/563751/136N065V01_FY+2018-19.pdf/71c3165e-3d5d-8850-242d-4091c70ffdbf?version=1.1&t=1667623368641&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Guaranteed Income Plan,136N067V01,Non-ULIP,2019-01-1010-01-2019,2019-11-3030-11-2019,Savings,Non-par,Individual,,136N067V01_FY 2018-19754 KB,https://irdai.gov.in/documents/37343/563751/136N067V01_FY+2018-19.pdf/5c6c6e3f-ba5a-e9b6-5b1f-52fce4fe28ee?version=1.1&t=1667623587947&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance Invest 4G,136L064V01,ULIP,2018-08-2323-08-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L064V01_FY 2018-19627 KB,https://irdai.gov.in/documents/37343/563751/136L064V01_FY+2018-19.pdf/9aff5168-323c-c099-da35-b5e94b14f69e?version=1.1&t=1667207230230&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank Of Commerce Life Insurance Group Superannuation Plan,136N026V02,Non-ULIP,2018-07-2323-07-2018,2019-11-3030-11-2019,Retirement,Non-par,Group,,136N026V02_FY 2018-19431 KB,https://irdai.gov.in/documents/37343/563751/136N026V02_FY+2018-19.pdf/d6cd8f1f-10c4-08a9-df0e-6feffccd05ac?version=1.1&t=1667624561765&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank Of Commerce Life Insurance Group Traditional Benefit Plan,136N027V02,Non-ULIP,2018-07-2323-07-2018,2019-11-3030-11-2019,Retirement,Non-par,Group,,136N027V02_FY 2018-19447 KB,https://irdai.gov.in/documents/37343/563751/136N027V02_FY+2018-19.pdf/c28c6655-d38c-35c1-df3c-3d18663444c1?version=1.1&t=1667624694459&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Easy Bachat Plan,136N068V01,Non-ULIP,2019-01-1010-01-2019,2019-11-0404-11-2019,Savings,Non-par,Individual,,136N068V01_FY 2018-19482 KB,https://irdai.gov.in/documents/37343/563751/136N068V01_FY+2018-19.pdf/58527374-a13c-b910-6691-9775efb3b261?version=1.1&t=1667624468224&download=true
1,Non-Archived,FY 2018-19,Canara HSBC Oriental Bank of Commerce Life Insurance Company Ltd.,Canara HSBC Oriental Bank of Commerce Life Insurance iNVESTSHIELD Plan,136L041V03,ULIP,2018-05-2121-05-2018,2019-11-3030-11-2019,Savings,Non-par,Individual,,136L041V03_FY 2018-19546 KB,https://irdai.gov.in/documents/37343/563751/136L041V03_FY+2018-19.pdf/9bb4eb5b-21a8-cae8-551c-3652db2b7836?version=1.1&t=1667630300865&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Goal Assure III,116L193V01,ULIP,2024-09-0101-09-2024,2024-12-0101-12-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life Goal Assure III-UIN-116L193V01.pdf248 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Goal+Assure+III-UIN-116L193V01.pdf/4b4be913-f17f-74b3-a70a-6d583a8bc235?version=1.0&t=1756202357798&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Credit Protection Plus,116N094V08,Non-ULIP,2024-09-2525-09-2024,----,Protection,Non PAR,Group,,Bajaj Allianz Life Group Credit Protection Plus-UIN-116N094V08.pdf626 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Credit+Protection+Plus-UIN-116N094V08.pdf/2691fa27-4e3f-dbc9-aee9-98eceb682d18?version=1.0&t=1756206855317&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Fortune Gain II,116L196V01,ULIP,2024-10-1717-10-2024,2025-03-0909-03-2025,Savings,Non PAR,Individual,,Bajaj Allianz Life Fortune Gain II-UIN-116L196V01.pdf203 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Fortune+Gain+II-UIN-116L196V01.pdf/4c632221-6c7a-d705-dab7-a7f55678f6e9?version=1.0&t=1756198390270&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Fortune Gain II,116L196V02,ULIP,2025-03-1010-03-2025,----,Savings,Non PAR,Individual,,Bajaj Allianz Life Fortune Gain II-UIN-116L196V02.pdf235 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Fortune+Gain+II-UIN-116L196V02.pdf/61564b8b-d80b-140d-d919-3459c6e9cb7f?version=1.0&t=1756198824575&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Accidental Death Benefit Rider,116B005V06,Non-ULIP,2024-09-2525-09-2024,----,Protection,Non PAR,Group,,Bajaj Allianz Life Group Accidental Death Benefit Rider-UIN-116B005V06.pdf281 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Accidental+Death+Benefit+Rider-UIN-116B005V06.pdf/439c7862-2570-a912-9df7-3ff33551b412?version=1.0&t=1756204869832&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Invest Protect Goal II,116L192V01,ULIP,2024-08-2121-08-2024,2024-12-0101-12-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life Invest Protect Goal II-UIN-116L192V01.pdf213 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Invest+Protect+Goal+II-UIN-116L192V01.pdf/1b39c182-8144-c8ab-7f7f-9278af332bb3?version=1.0&t=1756372480033&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Secure Shield,116N199V01,Non-ULIP,2024-10-2424-10-2024,----,Protection,Non PAR,Group,,Bajaj Allianz Life Group Secure Shield-UIN-116N199V01.pdf688 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Secure+Shield-UIN-116N199V01.pdf/5ab7ba51-df2e-638d-2396-8c2e104fd801?version=1.0&t=1756208520461&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Future Wealth Gain III,116L195V01,ULIP,2024-09-0101-09-2024,2024-11-0404-11-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life Future Wealth Gain III-UIN-116L195V01.pdf256 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Future+Wealth+Gain+III-UIN-116L195V01.pdf/92d75110-d50d-cefa-1b59-235a7827ebcb?version=1.0&t=1756201701508&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Future Wealth Gain IV,116L202V01,ULIP,2024-11-0505-11-2024,----,Savings,Non PAR,Individual,,Bajaj Allianz Life Future Wealth Gain IV-UIN-116L202V01.pdf275 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Future+Wealth+Gain+IV-UIN-116L202V01.pdf/3c190398-33b9-a446-8a25-85b00bf009e4?version=1.0&t=1756201814784&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Secure Return,116N184V02,Non-ULIP,2024-09-2727-09-2024,----,Savings,Non PAR,Group,,Bajaj Allianz Life Group Secure Return-UIN-116N184V02.pdf365 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Secure+Return-UIN-116N184V02.pdf/e85ad9ec-63bb-b3ca-ce1a-e16510a05e59?version=1.0&t=1756208309452&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Goal Based Saving III,116L206V01,ULIP,2024-12-0505-12-2024,----,Savings,Non PAR,Individual,,Bajaj Allianz Life Goal Based Saving III-UIN-116L206V01.pdf258 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Goal+Based+Saving+III-UIN-116L206V01.pdf/5ee5eb39-e8b9-6da1-c8dd-d1229c44cbd1?version=1.0&t=1756202740449&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Employee Benefit,116L161V03,ULIP,2024-09-2727-09-2024,----,Savings,Non PAR,Group,,Bajaj Allianz Life Group Employee Benefit-UIN-116L161V03.pdf418 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Employee+Benefit-UIN-116L161V03.pdf/e29d809c-ede6-516e-fce4-ed00d8eb99de?version=1.0&t=1756207350434&download=true
2,Non-Archived,44269,Ageas Federal Life Insurance Co.Ltd,IDBI Federal Group Microsurance Plan,135N004V02,Non ULIP,2013-08-2828-08-2013,2019-11-1313-11-2019,Protection,Non Par,Group,,IDBI Federal Group Microsurance - Policy Document_44269725 KB,https://irdai.gov.in/documents/37343/563751/IDBI+Federal+Group+Microsurance+-+Policy+Document_44269.pdf/fa352667-29d9-6b49-7fbe-5e90fb7a733d?version=1.1&t=1667320369410&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Sampoorna Jeevan Suraksha,116N166V02,Non-ULIP,2024-09-2525-09-2024,----,Protection,Non PAR,Group,,Bajaj Allianz Life Group Sampoorna Jeevan Suraksha-UIN-116N166V02.pdf670 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Sampoorna+Jeevan+Suraksha-UIN-116N166V02.pdf/276411aa-fc29-5e57-67a9-bdc47ae41c63?version=1.0&t=1756207949279&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Sampoorna Suraksha Kavach,116N143V03,Non-ULIP,2024-09-2727-09-2024,----,Protection,Non PAR,Group,,Bajaj Allianz Life Group Sampoorna Suraksha Kavach-UIN-116N143V03.pdf592 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Sampoorna+Suraksha+Kavach-UIN-116N143V03.pdf/faa91174-158a-c945-48e0-984bb1e6511a?version=1.0&t=1756208055095&download=true
2,Non-Archived,FY 2018-19,Kotak Mahindra Life Insurance Co. Ltd.,Kotak Raksha Group Micro Insurance Plan,107N101V03,,2019-01-2222-01-2019,----,,,,,107N101V03_FY 2018-19467 KB,https://irdai.gov.in/documents/37343/563751/107N101V03_FY+2018-19.pdf/fe0a3364-8e74-7925-48b9-f02f43a91b00?version=1.1&t=1668072553247&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Employee Care,116N160V02,Non-ULIP,2024-09-2727-09-2024,----,Savings,Non PAR,Group,,Bajaj Allianz Life Group Employee Care-UIN-116N160V02.pdf568 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Employee+Care-UIN-116N160V02.pdf/bd13665e-91fb-8814-bed3-0d7c91315201?version=1.0&t=1756207453327&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Goal Suraksha,116N155V14,Non-ULIP,2025-02-0101-02-2025,----,Savings,Non PAR,Individual,,Bajaj Allianz Life Goal Suraksha-UIN-116N155V14.pdf171 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Goal+Suraksha-UIN-116N155V14.pdf/8c37c10e-0742-4109-b1c7-3c206d70dc35?version=1.0&t=1756204506341&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Family Protect Rider,116B056V01,Non-ULIP,2024-08-0909-08-2024,----,Protection,Non PAR,Individual,,Bajaj Allianz Life Family Protect Rider-UIN 116B056V01.pdf102 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Family+Protect+Rider-UIN+116B056V01.pdf/bbd41a44-8e4b-93e8-8d36-58e53bdd23b8?version=1.0&t=1756189583538&download=true
2,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Goal Assure IV,116L204V01,ULIP,2024-12-0202-12-2024,----,Savings,Non PAR,Individual,,Bajaj Allianz Life Goal Assure IV-UIN-116L204V01.pdf275 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Goal+Assure+IV-UIN-116L204V01.pdf/845e28e6-6a01-fb24-3f04-9c93c74788d8?version=1.0&t=1756202518109&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Guaranteed Wealth Goal,116N200V02,Non-ULIP,2024-10-0101-10-2024,2024-12-1919-12-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life Guaranteed Wealth Goal-UIN-116N200V02.pdf203 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Guaranteed+Wealth+Goal-UIN-116N200V02.pdf/1e08e2ce-6bf5-456a-fbee-121c0ca156ff?version=1.0&t=1756366151196&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life LongLife Goal II,116L197V01,ULIP,2024-10-0101-10-2024,2024-11-0404-11-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life LongLife Goal II-UIN-116L197V01.pdf267 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+LongLife+Goal+II-UIN-116L197V01.pdf/1e87beca-fc66-e85b-df66-bbd97257c792?version=1.0&t=1756373997499&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Smart Protection Goal,116N174V04,Non-ULIP,2024-07-0505-07-2024,2024-09-3030-09-2024,Protection,Non PAR,Individual,,Bajaj Allianz Life Smart Protection Goal-UIN-116N174V04.pdf269 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Smart+Protection+Goal-UIN-116N174V04.pdf/129d1af0-f056-9b12-6e9c-690a38557caf?version=1.0&t=1756373462343&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Linked Accident Protection rider II,116A057V01,ULIP,2024-09-0101-09-2024,----,Protection,Non PAR,Individual,,Bajaj Allianz Life Linked Accident Protection Rider II-UIN 116A057V01.pdf97 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Linked+Accident+Protection+Rider+II-UIN+116A057V01.pdf/37387dfd-40d9-1bb2-be70-0c1111645a08?version=1.0&t=1756373673655&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Term Life,116N021V07,Non-ULIP,2024-09-2525-09-2024,----,Protection,Non PAR,Group,,Bajaj Allianz Life Group Term Life-UIN-116N021V07.pdf368 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Term+Life-UIN-116N021V07.pdf/5b05a170-2870-d3a9-cc3b-1c56ce909225?version=1.0&t=1756363752197&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Smart Protection Goal,116N174V05,Non-ULIP,2024-10-0101-10-2024,----,Protection,Non PAR,Individual,,Bajaj Allianz Life Smart Protection Goal-UIN-116N174V05.pdf210 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Smart+Protection+Goal-UIN-116N174V05.pdf/1f74b41c-0ac7-556b-bed3-ebd0e84110b5?version=1.0&t=1756373630514&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Guaranteed Pension Goal II,116N187V03,Non-ULIP,2024-12-0505-12-2024,2025-02-1414-02-2025,Retirement,Non PAR,Individual,,Bajaj Allianz Life Guaranteed Pension Goal II-UIN-116N187V03.pdf222 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Guaranteed+Pension+Goal+II-UIN-116N187V03.pdf/e5e6cd53-3f0c-f4ca-543b-076b1e5479bf?version=1.0&t=1756365669150&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Guaranteed Savings Goal,116N158V03,Non-ULIP,2024-05-0505-05-2024,2024-09-3030-09-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life Guaranteed Savings Goal-UIN-116N158V03.pdf139 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Guaranteed+Savings+Goal-UIN-116N158V03.pdf/d20d1e13-c1ad-cb00-adae-422b834796a8?version=1.0&t=1756365871810&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Magnum Fortune Plus III,116L207V01,ULIP,2025-02-0101-02-2025,2025-03-0909-03-2025,Savings,Non PAR,Individual,,Bajaj Allianz Life Magnum Fortune Plus III-UIN-116L207V01.pdf258 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Magnum+Fortune+Plus+III-UIN-116L207V01.pdf/1f44028e-41af-04b7-3a6f-9d6bd34ef1ec?version=1.0&t=1756374544860&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Linked Accident Protection rider,116A055V02,ULIP,2024-07-2525-07-2024,2024-08-3131-08-2024,Protection,Non PAR,Individual,,Bajaj Allianz Life Linked Accident Protection Rider-UIN 116A055V02.pdf85 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Linked+Accident+Protection+Rider-UIN+116A055V02.pdf/e24d5831-d0c3-26f1-a8c6-d5505321889f?version=1.1&t=1756373464191&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Group Superannuation Secure Plus,116N175V02,Non-ULIP,2024-09-2727-09-2024,----,Retirement,Non PAR,Group,,Bajaj Allianz Life Group Superannuation Secure Plus-UIN-116N175V02.pdf361 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Group+Superannuation+Secure+Plus-UIN-116N175V02.pdf/91561002-3307-2bfc-608c-6565e6b847eb?version=1.0&t=1756363351858&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Magnum Fortune Plus III,116L207V02,ULIP,2025-03-1010-03-2025,----,Savings,Non PAR,Individual,,Bajaj Allianz Life Magnum Fortune Plus III-UIN-116L207V02.pdf271 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Magnum+Fortune+Plus+III-UIN-116L207V02.pdf/a1a10177-4c42-6e58-99c8-1e1ee2e30264?version=1.0&t=1756374629984&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Guaranteed Wealth Goal,116N200V01,Non-ULIP,2024-09-2727-09-2024,2024-09-3030-09-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life Guaranteed Wealth Goal-UIN-116N200V01.pdf199 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Guaranteed+Wealth+Goal-UIN-116N200V01.pdf/c2dea982-0140-443c-6ebe-e7c0d6cbc43e?version=1.0&t=1756366062024&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Guaranteed Wealth Goal,116N200V04,Non-ULIP,2025-01-1818-01-2025,----,Savings,Non PAR,Individual,,Bajaj Allianz Life Guaranteed Wealth Goal-UIN-116N200V04.pdf197 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Guaranteed+Wealth+Goal-UIN-116N200V04.pdf/8544f20a-256e-522c-fe98-7cb7df48c53c?version=1.0&t=1756366419012&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Guaranteed Wealth Goal,116N200V03,Non-ULIP,2024-12-2020-12-2024,2025-01-1717-01-2025,Savings,Non PAR,Individual,,Bajaj Allianz Life Guaranteed Wealth Goal-UIN-116N200V03.pdf200 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Guaranteed+Wealth+Goal-UIN-116N200V03.pdf/6c88b5b2-f802-3944-1218-9bd488223af8?version=1.1&t=1756366278221&download=true
3,Non-Archived,2024-2025,Bajaj Allianz Life Insurance Co. Ltd.,Bajaj Allianz Life Guaranteed Income Goal,116N157V10,Non-ULIP,2024-04-1616-04-2024,2024-09-3030-09-2024,Savings,Non PAR,Individual,,Bajaj Allianz Life Guaranteed Income Goal-UIN-116N157V10.pdf169 KB,https://irdai.gov.in/documents/37343/563751/Bajaj+Allianz+Life+Guaranteed+Income+Goal-UIN-116N157V10.pdf/172a6a7b-057f-71b2-b934-b7f41d88d730?version=1.0&t=1756364398545&download=true
